"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","W","Women","TOTAL","Total","2024","2024",13902897,,
"AUS","Australia","W","Women","TOTAL","Total","2025","2025",14110622,,
"AUS","Australia","W","Women","TOTAL","Total","2026","2026",14315177,,
"AUS","Australia","W","Women","TOTAL","Total","2027","2027",14515531,,
"AUS","Australia","W","Women","TOTAL","Total","2028","2028",14714981,,
"AUS","Australia","W","Women","TOTAL","Total","2029","2029",14913239,,
"AUS","Australia","W","Women","TOTAL","Total","2030","2030",15110063,,
"AUS","Australia","W","Women","TOTAL","Total","2031","2031",15305260,,
"AUS","Australia","W","Women","TOTAL","Total","2032","2032",15498626,,
"AUS","Australia","W","Women","TOTAL","Total","2033","2033",15690043,,
"AUS","Australia","W","Women","TOTAL","Total","2034","2034",15879475,,
"AUS","Australia","W","Women","TOTAL","Total","2035","2035",16066957,,
"AUS","Australia","W","Women","TOTAL","Total","2036","2036",16252549,,
"AUS","Australia","W","Women","TOTAL","Total","2037","2037",16436385,,
"AUS","Australia","W","Women","TOTAL","Total","2038","2038",16618602,,
"AUS","Australia","W","Women","TOTAL","Total","2039","2039",16799295,,
"AUS","Australia","W","Women","TOTAL","Total","2040","2040",16978580,,
"AUS","Australia","W","Women","TOTAL","Total","2041","2041",17156588,,
"AUS","Australia","W","Women","TOTAL","Total","2042","2042",17333412,,
"AUS","Australia","W","Women","TOTAL","Total","2043","2043",17509167,,
"AUS","Australia","W","Women","TOTAL","Total","2044","2044",17683941,,
"AUS","Australia","W","Women","TOTAL","Total","2045","2045",17857844,,
"AUS","Australia","M","Men","TOTAL","Total","2024","2024",13659298,,
"AUS","Australia","M","Men","TOTAL","Total","2025","2025",13859813,,
"AUS","Australia","M","Men","TOTAL","Total","2026","2026",14057138,,
"AUS","Australia","M","Men","TOTAL","Total","2027","2027",14250203,,
"AUS","Australia","M","Men","TOTAL","Total","2028","2028",14442104,,
"AUS","Australia","M","Men","TOTAL","Total","2029","2029",14632638,,
"AUS","Australia","M","Men","TOTAL","Total","2030","2030",14821662,,
"AUS","Australia","M","Men","TOTAL","Total","2031","2031",15009075,,
"AUS","Australia","M","Men","TOTAL","Total","2032","2032",15194636,,
"AUS","Australia","M","Men","TOTAL","Total","2033","2033",15378367,,
"AUS","Australia","M","Men","TOTAL","Total","2034","2034",15560346,,
"AUS","Australia","M","Men","TOTAL","Total","2035","2035",15740684,,
"AUS","Australia","M","Men","TOTAL","Total","2036","2036",15919574,,
"AUS","Australia","M","Men","TOTAL","Total","2037","2037",16097247,,
"AUS","Australia","M","Men","TOTAL","Total","2038","2038",16273893,,
"AUS","Australia","M","Men","TOTAL","Total","2039","2039",16449696,,
"AUS","Australia","M","Men","TOTAL","Total","2040","2040",16624796,,
"AUS","Australia","M","Men","TOTAL","Total","2041","2041",16799351,,
"AUS","Australia","M","Men","TOTAL","Total","2042","2042",16973451,,
"AUS","Australia","M","Men","TOTAL","Total","2043","2043",17147210,,
"AUS","Australia","M","Men","TOTAL","Total","2044","2044",17320691,,
