STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2008,,3198231,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2009,,3162916,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2010,,3097282,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2011,,3028115,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2012,,2987773,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2013,,2957689,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2014,,2932367,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2015,,2904910,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2016,,2868231,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2017,,2828403,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2018,,2801543,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2019,,2794137,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2020,,2794885,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2021,,2808380,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,LTU,Lithuania,POP,Population,PS,Persons,_T,Total,_T,Total,H,Historical,2022,,2833000,,A,Normal value,0,Units,0,Zero
