"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2008","2008",64117,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2009","2009",67613,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2019","2019",97039,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2020","2020",100260,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2021","2021",103196,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2008","2008",31585,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2009","2009",32266,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2010","2010",33042,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2011","2011",33656,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2012","2012",34491,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2013","2013",35842,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",36772,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2015","2015",37685,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2016","2016",37651,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2017","2017",37963,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2018","2018",38252,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2019","2019",39207,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2020","2020",39694,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2021","2021",40471,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2022","2022",40957,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2008","2008",51389,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2009","2009",52303,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2010","2010",53418,,
